seller_id,orders_count,items_sold,gross_revenue,delivered_orders,on_time_deliveries,seller_id,avg_review_score
7142540dd4c91e2237acb7e911c4eba2,319,331,37373.56,328,302,7142540dd4c91e2237acb7e911c4eba2,4.04
897060da8b9a21f655304d50fd935913,317,430,23023.92,413,363,897060da8b9a21f655304d50fd935913,3.40
70a12e78e608ac31179aea7f8422044b,315,328,30858.53,323,288,70a12e78e608ac31179aea7f8422044b,3.77
855668e0971d4dfd7bef1b6a4133b41b,312,327,32208.16,311,268,855668e0971d4dfd7bef1b6a4133b41b,3.73
fa40cc5b934574b62717c68f3d678b6d,307,340,16055.87,337,317,fa40cc5b934574b62717c68f3d678b6d,4.43
87142160b41353c4e5fca2360caf6f92,305,339,31095.98,339,320,87142160b41353c4e5fca2360caf6f92,4.37
fe2032dab1a61af8794248c8196565c9,294,306,65959.61,305,279,fe2032dab1a61af8794248c8196565c9,4.38
c3cfdc648177fdbbbb35635a37472c53,278,307,43048.18,307,300,c3cfdc648177fdbbbb35635a37472c53,4.45
37be5a7c751166fbc5f8ccba4119e043,272,281,55350.55,278,271,37be5a7c751166fbc5f8ccba4119e043,4.30
634964b17796e64304cadf1ad3050fb7,268,326,39465.10,323,292,634964b17796e64304cadf1ad3050fb7,3.86
1da3aeb70d7989d1e6d9b0e887f97c23,265,328,8823.52,324,308,1da3aeb70d7989d1e6d9b0e887f97c23,4.07
4c2b230173bb36f9b240f2b8ac11786e,261,346,14592.27,343,312,4c2b230173bb36f9b240f2b8ac11786e,3.76
c70c1b0d8ca86052f45a432a38b73958,261,338,36537.37,336,309,c70c1b0d8ca86052f45a432a38b73958,4.30
562fc2f2c2863ab7e79a9e4388a58a14,260,270,8814.20,265,256,562fc2f2c2863ab7e79a9e4388a58a14,4.24
17e34d8224d27a541263c4c64b11a56b,255,268,56363.24,260,239,17e34d8224d27a541263c4c64b11a56b,4.14
a3a38f4affed601eb87a97788c949667,254,263,26533.32,260,248,a3a38f4affed601eb87a97788c949667,4.39
88460e8ebdecbfecb5f9601833981930,248,302,31546.55,300,241,88460e8ebdecbfecb5f9601833981930,3.35
1554a68530182680ad5c8b042c3ab563,247,269,29052.53,267,248,1554a68530182680ad5c8b042c3ab563,4.25
c3867b4666c7d76867627c2f7fb22e21,245,259,37153.40,241,214,c3867b4666c7d76867627c2f7fb22e21,3.85
0241d4d5d36f10f80c644447315af0bd,238,246,31397.70,246,232,0241d4d5d36f10f80c644447315af0bd,4.28
0ea22c1cfbdc755f86b9b54b39c16043,237,269,10711.70,265,261,0ea22c1cfbdc755f86b9b54b39c16043,4.33
dc4a0fc896dc34b0d5bfec8438291c80,231,249,24180.77,242,226,dc4a0fc896dc34b0d5bfec8438291c80,3.74
37515688008a7a40ac93e3b2e4ab203f,228,240,5986.60,239,215,37515688008a7a40ac93e3b2e4ab203f,4.08
e5a3438891c0bfdb9394643f95273d8e,224,255,7738.35,247,202,e5a3438891c0bfdb9394643f95273d8e,3.81
f7ba60f8c3f99e7ee4042fdef03b70c4,219,230,68395.00,229,191,f7ba60f8c3f99e7ee4042fdef03b70c4,4.21
4b9750c8ad28220fe6702d4ecb7c898f,218,222,15915.30,221,204,4b9750c8ad28220fe6702d4ecb7c898f,4.35
7aa4334be125fcdd2ba64b3180029f14,217,240,16234.81,237,205,7aa4334be125fcdd2ba64b3180029f14,4.05
e9bc59e7b60fc3063eb2290deda4cced,216,269,34343.06,260,227,e9bc59e7b60fc3063eb2290deda4cced,3.94
d1c281d3ae149232351cd8c8cc885f0d,215,240,26942.60,239,218,d1c281d3ae149232351cd8c8cc885f0d,3.81
7040e82f899a04d1b434b795a43b4617,212,228,9738.20,223,203,7040e82f899a04d1b434b795a43b4617,3.53
8d956fec2e4337affcb520f56fd8cbfd,211,228,11015.19,227,205,8d956fec2e4337affcb520f56fd8cbfd,4.19
4830e40640734fc1c52cd21127c341d4,210,219,9843.47,212,198,4830e40640734fc1c52cd21127c341d4,4.10
6edacfd9f9074789dad6d62ba7950b9c,208,219,13147.10,216,204,6edacfd9f9074789dad6d62ba7950b9c,4.36
cab85505710c7cb9b720bceb52b01cee,206,209,11389.10,204,199,cab85505710c7cb9b720bceb52b01cee,4.29
7178f9f4dd81dcef02f62acdf8151e01,203,216,37070.40,215,205,7178f9f4dd81dcef02f62acdf8151e01,4.03
ceaec5548eefc6e23e6607c5435102e7,203,211,52917.18,206,194,ceaec5548eefc6e23e6607c5435102e7,4.15
e26901d5ab434ce92fd9b5c256820a4e,202,221,11990.90,215,210,e26901d5ab434ce92fd9b5c256820a4e,4.06
2eb70248d66e0e3ef83659f71b244378,202,212,42628.61,197,169,2eb70248d66e0e3ef83659f71b244378,2.71
1c129092bf23f28a5930387c980c0dfc,201,220,9553.62,219,208,1c129092bf23f28a5930387c980c0dfc,4.17
001cca7ae9ae17fb1caed9dfb1094831,200,239,25080.03,234,221,001cca7ae9ae17fb1caed9dfb1094831,3.90
